Ticker,Recovery Days
LVH,1.0
OLL,1.0
EEG,2.0
OFX,2.0
LCL,3.0
ERL,10.0
NXT,11.0
KGM,16.25
OEX,24.075
HAW,25.75
LOT,27.0
DME,29.25
TSL,37.0
GRB,37.035714285714285
MOB,38.5
OKU,38.5
BRV,39.0
IMM,41.03125
CXL,42.766666666666666
NST,43.125
ACS,43.333333333333336
IOZ,44.0
CTE,44.333333333333336
LBL,46.4
FIN,47.83870967741935
CXX,50.45454545454545
CDX,52.0
EMP,52.13636363636363
FOOD,52.28947368421053
IFM,52.526315789473685
FIG,54.666666666666664
ANS,55.0
MLT,55.0
MGZ,58.45454545454545
NIU,58.5
BCL,58.708333333333336
ALI,60.07692307692308
LKE,60.285714285714285
PEC,60.5
OGA,61.0
CML,61.142857142857146
BPH,61.705882352941174
AUC,62.6
FGG,63.0
EHX,63.666666666666664
PBX,64.0
PLC,65.0
DAU,66.78947368421052
AWC,70.8
DDT,71.5
