Ticker,Drawdown Start,Recovery Start,Recovery Days
ACB,2015-04-29,2015-11-04,189
ACB,2016-06-20,2016-08-30,71
ACB,2017-07-05,2017-08-24,50
ACB,2018-07-26,2018-10-16,82
ACB,2018-12-24,2019-03-12,78
ACB,2019-07-30,2021-01-20,540
ACB,2021-05-17,2024-05-03,1082
ABL,2021-06-29,2021-11-29,153
ABL,2023-07-12,2024-01-22,194
AEG,2010-10-18,2010-11-15,28
AEG,2011-07-11,2012-03-15,248
AEG,2012-06-12,2012-08-17,66
AEG,2014-08-06,2015-04-17,254
AEG,2015-07-08,2015-07-16,8
AEG,2015-07-28,2016-12-07,498
AEG,2018-07-16,2019-12-19,521
AEG,2020-02-07,2020-11-18,285
AEG,2022-07-01,2022-12-21,173
AEG,2023-04-26,2023-07-10,75
ABT,2010-12-22,2011-04-25,124
ABT,2013-10-03,2013-11-14,42
ABT,2015-09-29,2016-08-12,318
ABT,2016-11-30,2017-02-16,78
ABT,2020-03-25,2020-05-12,48
ABT,2022-03-23,2023-01-20,303
ABT,2023-03-29,2023-05-18,50
ABT,2023-09-25,2024-01-10,107
ACS,2010-10-19,2010-11-17,29
ACS,2011-03-28,2012-07-27,487
ACS,2013-07-05,2013-10-04,91
ACS,2014-03-06,2014-03-24,18
ACS,2014-05-06,2014-05-13,7
ACS,2014-10-29,2014-11-03,5
ACS,2014-11-14,2014-11-17,3
ACS,2015-04-08,2015-04-09,1
ACS,2015-07-28,2015-08-04,7
ACS,2015-09-25,2015-09-28,3
ACS,2015-09-29,2015-09-30,1
ACS,2015-10-12,2016-03-18,158
ACS,2016-03-21,2016-03-22,1
ACS,2016-05-13,2016-05-17,4
ACS,2016-05-18,2016-05-19,1
ACS,2016-05-23,2016-05-25,2
ACS,2016-05-26,2016-06-13,18
ACS,2017-02-03,2017-02-07,4
ACS,2017-02-09,2017-02-13,4
ACS,2017-02-24,2017-02-28,4
ACS,2017-03-03,2017-05-04,62
ACF,2011-11-21,2014-04-07,868
ACF,2014-04-09,2014-04-14,5
ACF,2016-04-18,2017-09-26,526
ACR,2011-06-13,2012-01-25,226
ACR,2013-10-07,2013-11-12,36
ACR,2013-12-02,2013-12-27,25
ACR,2014-04-25,2014-06-25,61
ACR,2014-09-18,2014-12-29,102
ACR,2015-01-12,2016-05-09,483
ACR,2016-11-30,2017-07-03,215
ACR,2017-12-26,2018-05-31,156
ACR,2019-02-11,2019-03-14,31
ACR,2020-03-20,2020-12-16,271
ACR,2021-11-19,2023-03-01,467
ACR,2023-05-05,2024-01-11,251
ACU,2010-10-18,2011-08-03,289
ACU,2011-11-10,2012-01-18,69
ACU,2015-07-06,2016-05-05,304
ACU,2017-09-27,2019-05-06,586
ACU,2020-05-01,2020-06-19,49
ACU,2020-07-14,2020-07-20,6
ACU,2021-10-01,2023-05-05,581
ADH,2011-04-01,2012-06-18,444
ADH,2013-03-18,2013-11-26,253
ADH,2014-07-24,2016-03-08,593
ADH,2016-11-28,2016-12-16,18
ADH,2017-09-26,2020-02-20,877
ADH,2020-03-09,2021-01-27,324
ADH,2021-04-23,2021-05-05,12
ADD,2010-10-18,2010-12-01,44
ADD,2011-04-20,2011-12-27,251
ADD,2012-05-24,2013-11-05,530
ADD,2014-05-22,2014-12-12,204
ADD,2015-04-06,2016-05-25,415
ADD,2016-12-05,2017-04-05,121
ADD,2017-06-21,2017-11-27,159
ADD,2018-04-19,2018-06-28,70
ADD,2018-10-25,2019-07-11,259
ADD,2019-10-01,2020-08-27,331
ADD,2020-10-07,2021-02-11,127
ADR,2016-05-24,2017-03-27,307
ADR,2017-05-12,2020-01-24,987
AHZ,2011-04-12,2011-09-28,169
AHZ,2012-01-18,2013-03-22,429
AHZ,2013-04-23,2013-04-24,1
AHZ,2017-03-07,2017-12-13,281
ADT,2018-11-01,2019-11-05,369
ADT,2020-03-19,2020-06-18,91
ADT,2020-12-28,2021-01-14,17
ADT,2021-04-01,2021-05-18,47
ADT,2021-09-20,2022-09-12,357
ADT,2023-03-27,2024-01-08,287
ABV,2012-07-23,2012-11-05,105
ADX,2010-10-18,2010-11-03,16
ADX,2011-08-09,2012-02-06,181
ADX,2015-09-03,2016-06-01,272
ADX,2016-12-29,2017-01-20,22
ADX,2018-12-17,2019-03-19,92
ADX,2020-03-27,2020-07-14,109
ADX,2022-01-13,2023-02-03,386
AER,2011-06-24,2012-02-13,234
AER,2012-05-25,2012-07-16,52
AER,2012-07-24,2012-08-14,21
AER,2014-10-31,2015-04-02,153
AER,2015-09-25,2016-06-02,251
AER,2016-06-29,2016-09-12,75
AER,2018-04-13,2018-05-10,27
AER,2018-11-19,2019-06-20,213
AER,2020-03-17,2020-12-03,261
AER,2022-03-31,2022-11-15,229
AFL,2011-05-16,2012-01-25,254
AFL,2012-06-12,2012-08-28,77
AFL,2014-05-15,2015-02-24,285
AFL,2015-09-11,2015-11-27,77
AFL,2016-01-21,2016-04-06,76
AFL,2017-01-27,2017-03-16,48
AFL,2018-12-06,2019-01-22,47
AFL,2020-02-24,2020-11-17,267
AFL,2022-06-27,2022-09-22,87
AFL,2023-05-16,2023-05-26,10
AEB,2011-08-10,2012-03-06,209
AEB,2013-07-17,2014-03-19,245
AEB,2016-02-01,2016-05-25,114
AEB,2016-12-14,2017-03-17,93
AEB,2017-11-27,2017-12-19,22
AEB,2018-03-07,2018-03-12,5
AEB,2018-10-24,2019-05-03,191
AEB,2020-03-20,2020-08-05,138
AFT,2011-12-08,2012-02-22,76
AFT,2013-08-21,2014-02-27,190
AFT,2014-09-15,2015-03-05,171
AFT,2015-09-23,2016-05-05,225
AFT,2017-08-25,2018-02-28,187
AFT,2018-10-11,2019-04-12,183
